[2020-07-09 11:08:42,109] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 11:08:52,010] - INFO: 驱动app打开成功...
[2020-07-09 11:09:22,793] - INFO: 登录成功，进入首页...
[2020-07-09 11:09:22,795] - INFO: 验证批量修改设备
[2020-07-09 11:09:48,342] - INFO: ========测试完成========
[2020-07-09 11:10:09,318] - INFO: ========初始化测试环境========
[2020-07-09 11:10:09,499] - INFO: 获取设备系统版本号成功...
[2020-07-09 11:10:09,549] - INFO: 获取设备名成功...
[2020-07-09 11:10:09,743] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 11:10:09,744] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 11:10:09,756] - INFO: desired_caps更新完成...
[2020-07-09 11:10:09,761] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 11:10:10,087] - INFO: 应用已安装...
[2020-07-09 11:10:10,856] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 11:10:19,947] - INFO: 驱动app打开成功...
[2020-07-09 11:10:50,816] - INFO: 登录成功，进入首页...
[2020-07-09 11:10:50,817] - INFO: 验证批量修改设备
[2020-07-09 11:11:17,296] - INFO: ========测试完成========
[2020-07-09 11:11:55,352] - INFO: ========初始化测试环境========
[2020-07-09 11:11:55,552] - INFO: 获取设备系统版本号成功...
[2020-07-09 11:11:55,616] - INFO: 获取设备名成功...
[2020-07-09 11:11:55,867] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 11:11:55,868] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 11:11:55,882] - INFO: desired_caps更新完成...
[2020-07-09 11:11:55,888] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 11:11:56,217] - INFO: 应用已安装...
[2020-07-09 11:11:56,960] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 11:12:06,934] - INFO: 驱动app打开成功...
[2020-07-09 11:12:37,060] - INFO: 登录成功，进入首页...
[2020-07-09 11:12:37,061] - INFO: 验证批量修改设备
[2020-07-09 11:13:04,726] - INFO: ========测试完成========
[2020-07-09 11:13:09,083] - INFO: ========初始化测试环境========
[2020-07-09 11:13:09,301] - INFO: 获取设备系统版本号成功...
[2020-07-09 11:13:09,366] - INFO: 获取设备名成功...
[2020-07-09 11:13:09,452] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 11:13:09,454] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 11:13:09,465] - INFO: desired_caps更新完成...
[2020-07-09 11:13:09,470] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 11:13:09,869] - INFO: 应用已安装...
[2020-07-09 11:13:10,526] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 11:13:19,345] - INFO: 驱动app打开成功...
[2020-07-09 11:13:49,588] - INFO: 登录成功，进入首页...
[2020-07-09 11:13:49,590] - INFO: 验证批量修改设备
[2020-07-09 11:14:14,635] - INFO: ========测试完成========
[2020-07-09 14:29:54,851] - INFO: ========初始化测试环境========
[2020-07-09 14:29:55,075] - INFO: 获取设备系统版本号成功...
[2020-07-09 14:29:55,131] - INFO: 获取设备名成功...
[2020-07-09 14:29:55,358] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 14:29:55,358] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 14:29:55,370] - INFO: desired_caps更新完成...
[2020-07-09 14:29:55,376] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 14:29:56,252] - INFO: 应用已安装...
[2020-07-09 14:29:57,217] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 14:30:12,424] - INFO: 驱动app打开成功...
[2020-07-09 14:31:04,664] - ERROR: 初始化登录失败，终止自动化程序！！！
[2020-07-09 14:31:04,674] - INFO: 验证批量启动设备
[2020-07-09 14:31:36,446] - ERROR: 获取可视元素失败：Message: 

[2020-07-09 14:31:37,059] - INFO: ========测试完成========
[2020-07-09 14:33:31,215] - INFO: ========初始化测试环境========
[2020-07-09 14:33:31,392] - INFO: 获取设备系统版本号成功...
[2020-07-09 14:33:31,448] - INFO: 获取设备名成功...
[2020-07-09 14:33:31,662] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 14:33:31,662] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 14:33:31,677] - INFO: desired_caps更新完成...
[2020-07-09 14:33:31,682] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 14:33:31,984] - INFO: 应用已安装...
[2020-07-09 14:33:32,892] - INFO: -----开始执行用例：批量修改、批量启动设备-----
